first,last,book,year
Trudi,Canavan,Magician's Guild,2001
Trudi,Canavan,Novice,2002
Trudi,Canavan,High Lord,2003
Raymond,Feist,Magician,1982
Raymond,Feist,Silverthorn,1985
Raymond,Feist,Darkness at Sethanon,1986
Andy,Field,Discovering Statistics Using R,2012
Charles,Seife,Proofiness,2010
Nate,Silver,Signal and the Noise,2012
Ian,Stewart,Mathematics of Life,2011
Ian,Stewart,In Pursuit of the Unknown,2012
Ian,Stewart,Hoard of Mathematical Treasures,2010
Daniel,Tammet,Thinking in Numbers,2012
Brent,Weeks,Way of Shadows,2008
Brent,Weeks,Shadow's Edge,2008
Brent,Weeks,Beyond the Shadows,2008
Brent,Weeks,Black Prism,2010
Brent,Weeks,Blinding Knife,2012
Brent,Weeks,Broken Eye,2014
Brent,Weeks,Blood Mirror,2016
Brent,Weeks,Burning White,2019
