"","age","mean","sd","3rd","5th","10th","25th","50th","75th","90th","95th","97th"
"1","Birth_NA",50.6,2.8,45.1,45.7,47,48.9,50.8,52.1,54,54.6,55.9
"2","0–0.99_months3",51.26,2.28,47.3,48.2,48.3,49.5,50.8,53.3,54,55.2,55.9
"3","1–1.99_months3",54.54,2.32,50.8,50.8,51.4,53.3,54.3,55.9,57.8,58.4,59
"4","2–2.99_months3",57.4,2.29,53.3,53.7,54.6,55.9,57.2,58.7,60.3,61,61.6
"5","3–3.99_months4",60.79,2.74,55.9,56.7,57.5,59.1,61,62.5,63.8,64.8,65.5
"6","4–4.99_months4",62.57,2.68,57.3,58,58.4,61,62.8,64.1,66,67.1,67.7
"7","5–5.99_months",64.53,2.01,61.2,61.2,61.7,63.2,64.6,65.8,67.1,68,68.2
"8","6–6.99_months",66.91,3.34,62.8,63.3,64,65,66.7,68.4,70,70.9,71.6
"9","7–7.99_months",67.28,2.91,61.4,62.2,63.4,66,67.4,68.7,70.9,72.1,72.8
"10","8–8.99_months",69.01,2.59,64,64.9,65.6,67.4,68.8,70.7,72,73.1,74.3
"11","9–9.99_months",71.01,2.61,66.5,66.8,67.8,69.5,71,72.7,74,75.5,77.4
"12","10–10.99_months",72,2.77,66,67.1,68.7,70.3,72.1,73.8,75.4,76.5,77.4
"13","11–11.99_months",73.37,3.96,65.8,68.6,68.8,71.8,73.5,74.9,76.7,78.3,78.8
"14","12–14.99_months",75.83,3.24,69.9,70,71.4,73.8,76.2,77.6,79.4,80.5,81
"15","15–17.99_months",78.64,3.01,72.4,73,75,76.9,78.9,80.5,82.1,83,84.1
"16","18–20.99_months",81.92,3.77,74.8,76.1,77.5,79.6,81.6,84.5,86.8,87.5,89.1
"17","21–23.99_months",84.7,3.37,79.1,79.2,80.7,82.4,84.5,87,88.8,89.9,90.4
"18","24–29.99_months",87.97,3.7,80.8,82.4,83.8,85.6,88,90.1,92.9,94.4,95.3
"19","30–35.99_months",92.49,3.59,85.9,86.5,87.9,90.1,92.3,95,97.2,98.5,99.7
"20","2–2.49_years",87.73,4.03,80,82,82.9,85.2,87.6,90.2,93.1,94.6,94.9
"21","2.5–2.99_years",81.82,3.76,85,85.8,87,89.1,91.9,94.2,96.8,97.8,98.8
"22","3.0–3.49_years",95.75,3.97,88.3,89.1,90.8,93.4,95.7,98.3,100.8,102.9,103.5
"23","3.5–3.99_years",99.67,4.21,92.4,93.2,94.7,97,99.3,102.4,104.9,106.3,107.8
"24","4.0–4.49_years",103.05,4.54,94.8,95.7,97.2,99.8,103.2,106.3,108.4,110.2,111.5
"25","4.5–4.99_years",105.98,4.88,97.4,97.7,99.7,102.7,105.6,109.3,112.2,113.9,115
"26","5.0–5.49_years",109.87,4.7,101.1,101.9,104.1,107,109.9,113.1,115.5,117.2,118.8
"27","5.5–5.99_years",113.77,5.37,103.9,105.2,107.1,110.5,113.6,117,120.5,122.8,125.3
"28","6.0–6.49_years",116.46,5.39,106.8,107.9,109.8,112.6,116,120.1,123.8,125.1,126.9
"29","6.5–6.99_years",119.3,5.66,109.3,110.1,111.8,115.4,119,122.9,126.5,128.8,129.9
"30","7.0–7.49_years",122.52,5.48,112.8,113.8,116.2,118.6,122,126,128.9,131.4,133.7
