book,series
Magician's Guild,Black Magician Trilogy
Novice,Black Magician Trilogy
High Lord,Black Magician Trilogy
Magician,Riftwar Saga
Silverthorn,Riftwar Saga
Darkness at Sethanon,Riftwar Saga
Discovering Statistics Using R,
Proofiness,
Signal and the Noise,
Mathematics of Life,
In Pursuit of the Unknown,
Hoard of Mathematical Treasures,
Thinking in Numbers,
Way of Shadows,Night Angel Series
Shadow's Edge,Night Angel Series
Beyond the Shadows,Night Angel Series
Black Prism,Lightbringer Series
Blinding Knife,Lightbringer Series
Broken Eye,Lightbringer Series
Blood Mirror,Lightbringer Series
Burning White,Lightbringer Series
